Total Nacional;Municipios;Subciudad;Indicadores;Sexo;Periodo;Total
Total Nacional;Málaga;Prolongación: Mármoles - Carranque (Málaga);Renta neta media anual de los hogares (Euros);Total;2022;32.021,66
Total Nacional;Málaga;Prolongación: Mármoles - Carranque (Málaga);Renta neta media anual de los hogares (Euros);Total;2021;30.606,18
Total Nacional;Málaga;Prolongación: Mármoles - Carranque (Málaga);Renta neta media anual de los hogares (Euros);Total;2020;29.819,85
Total Nacional;Málaga;Prolongación: Mármoles - Carranque (Málaga);Renta neta media anual de los hogares (Euros);Total;2019;29.873,42
Total Nacional;Málaga;Prolongación: Mármoles - Carranque (Málaga);Renta neta media anual de los hogares (Euros);Total;2018;27.408,16
Total Nacional;Málaga;Prolongación: Mármoles - Carranque (Málaga);Renta neta media anual de los hogares (Euros);Total;2017;26.744,46
Total Nacional;Málaga;Prolongación: Mármoles - Carranque (Málaga);Renta neta media anual de los hogares (Euros);Total;2016;26.263,52
Total Nacional;Málaga;Prolongación: Mármoles - Carranque (Málaga);Renta neta media anual de los hogares (Euros);Total;2015;24.897,31
Total Nacional;Málaga;Prolongación: Mármoles - Carranque (Málaga);Renta neta media anual de los hogares (Euros);Total;2014;24.897,31
Total Nacional;Málaga;Prolongación: Mármoles - Carranque (Málaga);Renta neta media anual de los hogares (Euros);Total;2013;25.438,41
Total Nacional;Málaga;Prolongación: Mármoles - Carranque (Málaga);Renta neta media anual de los hogares (Euros);Total;2012;""
Total Nacional;Málaga;Prolongación: Mármoles - Carranque (Málaga);Renta neta media anual de los hogares (Euros);Total;2011;""
Total Nacional;Málaga;Prolongación: Mármoles - Carranque (Málaga);Renta neta media anual de los hogares (Euros);Total;2010;""
Total Nacional;Málaga;Prolongación: La Unión - Cruz de Humilladero (Málaga);Renta neta media anual de los hogares (Euros);Total;2023;""
Total Nacional;Málaga;Prolongación: La Unión - Cruz de Humilladero (Málaga);Renta neta media anual de los hogares (Euros);Total;2022;30.851,86
Total Nacional;Málaga;Prolongación: La Unión - Cruz de Humilladero (Málaga);Renta neta media anual de los hogares (Euros);Total;2021;28.959,52
Total Nacional;Málaga;Prolongación: La Unión - Cruz de Humilladero (Málaga);Renta neta media anual de los hogares (Euros);Total;2020;26.010,52
Total Nacional;Málaga;Prolongación: La Unión - Cruz de Humilladero (Málaga);Renta neta media anual de los hogares (Euros);Total;2019;28.475,17
Total Nacional;Málaga;Prolongación: La Unión - Cruz de Humilladero (Málaga);Renta neta media anual de los hogares (Euros);Total;2018;25.750,56
Total Nacional;Málaga;Prolongación: La Unión - Cruz de Humilladero (Málaga);Renta neta media anual de los hogares (Euros);Total;2017;24.952,55
Total Nacional;Málaga;Prolongación: La Unión - Cruz de Humilladero (Málaga);Renta neta media anual de los hogares (Euros);Total;2016;24.333,01
Total Nacional;Málaga;Prolongación: La Unión - Cruz de Humilladero (Málaga);Renta neta media anual de los hogares (Euros);Total;2015;22.821,21
Total Nacional;Málaga;Prolongación: La Unión - Cruz de Humilladero (Málaga);Renta neta media anual de los hogares (Euros);Total;2014;22.821,21
Total Nacional;Málaga;Prolongación: La Unión - Cruz de Humilladero (Málaga);Renta neta media anual de los hogares (Euros);Total;2013;23.110,74
Total Nacional;Málaga;Prolongación: La Unión - Cruz de Humilladero (Málaga);Renta neta media anual de los hogares (Euros);Total;2012;""
Total Nacional;Málaga;Prolongación: La Unión - Cruz de Humilladero (Málaga);Renta neta media anual de los hogares (Euros);Total;2011;""
Total Nacional;Málaga;Prolongación: La Unión - Cruz de Humilladero (Málaga);Renta neta media anual de los hogares (Euros);Total;2010;""
Total Nacional;Málaga;Litoral Oeste: Huelín (Málaga);Renta neta media anual de los hogares (Euros);Total;2023;""
Total Nacional;Málaga;Litoral Oeste: Huelín (Málaga);Renta neta media anual de los hogares (Euros);Total;2022;31.534,99
Total Nacional;Málaga;Litoral Oeste: Huelín (Málaga);Renta neta media anual de los hogares (Euros);Total;2021;29.471,52
Total Nacional;Málaga;Litoral Oeste: Huelín (Málaga);Renta neta media anual de los hogares (Euros);Total;2020;28.567,47
Total Nacional;Málaga;Litoral Oeste: Huelín (Málaga);Renta neta media anual de los hogares (Euros);Total;2019;28.739,00
Total Nacional;Málaga;Litoral Oeste: Huelín (Málaga);Renta neta media anual de los hogares (Euros);Total;2018;25.761,91
Total Nacional;Málaga;Litoral Oeste: Huelín (Málaga);Renta neta media anual de los hogares (Euros);Total;2017;24.977,27
Total Nacional;Málaga;Litoral Oeste: Huelín (Málaga);Renta neta media anual de los hogares (Euros);Total;2016;24.189,21
Total Nacional;Málaga;Litoral Oeste: Huelín (Málaga);Renta neta media anual de los hogares (Euros);Total;2015;22.389,04
Total Nacional;Málaga;Litoral Oeste: Huelín (Málaga);Renta neta media anual de los hogares (Euros);Total;2014;22.389,04
Total Nacional;Málaga;Litoral Oeste: Huelín (Málaga);Renta neta media anual de los hogares (Euros);Total;2013;22.489,63
Total Nacional;Málaga;Litoral Oeste: Huelín (Málaga);Renta neta media anual de los hogares (Euros);Total;2012;""
Total Nacional;Málaga;Litoral Oeste: Huelín (Málaga);Renta neta media anual de los hogares (Euros);Total;2011;""
Total Nacional;Málaga;Litoral Oeste: Huelín (Málaga);Renta neta media anual de los hogares (Euros);Total;2010;""
Total Nacional;Málaga;Litoral Oeste: La Paz - Parque Mediterráneo (Málaga);Renta neta media anual de los hogares (Euros);Total;2023;""
Total Nacional;Málaga;Litoral Oeste: La Paz - Parque Mediterráneo (Málaga);Renta neta media anual de los hogares (Euros);Total;2022;33.495,87
