Municipio de residencia;Seccion de residencia;Analfabetos;Sin estudios;Fue a la escuela 5 años o más pero no llegó al último curso de ESO, EGB o Bachiller Elemental;Llegó al último curso de ESO, EGB o Bachiller Elemental o tiene el Certificado de Escolaridad o de Estudios Primarios;Bachiller, BUP, Bachiller Superior, COU, PREU;FP grado medio, FP I, Oficialia Industrial o equivalente, Grado Medio de Música y Danza, Certificados de Escuelas Oficiales de Idiomas;FP grado superior, FPII, Maestria industrial o equivalente;Diplomatura universitaria, Aquitectura Técnica, Ingeniería Técnica o equivalente;Grado Universitario o equivalente;Licenciatura, Arquitectura, Ingeniería o equivalente;Máster oficial univeritario (a partir de 2006) , Especialidades Médicas o análogas;Doctorado
29067 Málaga;Sección 2906708063;*;*;*;115;120;115;140;110;*;245;*;*
29067 Málaga;Sección 2906708064;*;*;*;245;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708065;*;*;*;365;300;155;335;230;*;250;*;*
29067 Málaga;Sección 2906709001;*;*;*;85;*;*;*;140;*;145;*;*
29067 Málaga;Sección 2906709002;*;*;*;*;*;*;*;*;*;80;*;*
29067 Málaga;Sección 2906709003;*;*;*;130;105;*;*;185;*;80;*;70
29067 Málaga;Sección 2906709004;*;*;*;120;135;*;75;115;*;105;*;*
29067 Málaga;Sección 2906709005;*;*;*;*;185;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709006;*;*;*;*;*;*;*;155;*;165;*;*
29067 Málaga;Sección 2906709007;*;*;*;*;*;*;*;140;*;270;*;*
29067 Málaga;Sección 2906709008;*;*;*;*;85;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709009;*;*;*;85;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709010;*;*;*;120;*;60;*;65;*;85;*;*
29067 Málaga;Sección 2906709011;*;*;65;265;*;*;90;*;*;70;*;*
29067 Málaga;Sección 2906709012;*;*;*;60;200;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709013;*;*;*;125;105;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709014;*;*;75;135;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709015;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709016;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709017;*;*;*;75;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709018;*;*;*;95;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709019;*;*;*;145;*;85;*;*;*;*;*;*
29067 Málaga;Sección 2906709020;*;*;*;90;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709021;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709022;*;*;*;145;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709023;*;*;*;130;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709024;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709025;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709026;*;*;*;130;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709027;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709028;*;*;*;95;80;*;*;*;*;75;*;*
29067 Málaga;Sección 2906709029;*;*;*;60;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709030;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709031;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709032;*;*;*;65;*;*;*;*;*;*;*;*
