Municipio de residencia;Sección ;Total;Analfabetos;Estudios primarios incompletos;Educación primaria;Primera etapa de educación secundaria y similar;Segunda etapa de educación secundaria con orientación general;Segunda etapa de educación secundaria con orientación profesional;Educación postsecundaria no superior;Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes, títulos propios universitarios que precisan del título de bachiller, de duración igual o superior a 2 años;Grados universitarios de 240 créditos ECTS, diplomados universitarios, títulos propios universitarios de experto o especialista, y similares;Grados universitarios de más de 240 créditos ECTS, licenciados;Másteres, especialidades en Ciencias de la Salud por el sistema de residencia y similares;Doctorado universitario
29067 Málaga;Sección 2906707050;600;0;6;36;261;51;60;0;84;51;27;18;3
29067 Málaga;Sección 2906707066;504;0;9;21;168;57;51;3;66;63;48;12;6
29067 Málaga;Sección 2906707067;525;0;6;45;153;51;60;3;63;69;51;15;3
29067 Málaga;Sección 2906707071;534;3;3;21;99;60;78;0;66;87;81;30;6
29067 Málaga;Sección 2906707072;795;0;3;21;165;90;93;3;123;144;93;45;15
29067 Málaga;Sección 2906707074;825;0;6;30;159;69;75;3;126;132;135;66;18
29067 Málaga;Sección 2906707076;636;0;3;33;183;75;75;0;87;81;60;30;12
29067 Málaga;Sección 2906707077;828;0;6;42;312;87;99;0;90;111;51;33;6
29067 Málaga;Sección 2906707082;918;0;6;36;315;99;147;3;159;87;45;24;3
29067 Málaga;Sección 2906707089;720;0;3;27;276;63;90;0;93;90;48;21;6
29067 Málaga;Sección 2906707090;813;0;3;33;273;72;123;0;117;105;57;27;3
29067 Málaga;Sección 2906707091;1227;0;0;18;264;135;147;0;213;213;156;66;9
29067 Málaga;Sección 2906707092;834;0;3;21;291;84;96;0;141;114;72;12;6
29067 Málaga;Sección 2906707095;501;0;0;6;162;57;63;3;87;72;42;9;3
29067 Málaga;Sección 2906708001;702;0;0;18;150;75;90;3;87;126;93;45;18
29067 Málaga;Sección 2906708003;534;0;9;27;150;69;57;0;75;75;51;18;6
29067 Málaga;Sección 2906708006;870;0;3;30;327;87;138;0;147;87;39;12;3
29067 Málaga;Sección 2906708007;669;0;6;33;246;69;87;3;84;84;39;12;3
29067 Málaga;Sección 2906708010;957;0;3;51;321;99;129;0;135;117;54;39;6
29067 Málaga;Sección 2906708011;825;0;3;51;360;66;120;6;90;69;33;15;9
29067 Málaga;Sección 2906708012;1170;0;9;75;471;81;183;3;138;102;57;33;12
29067 Málaga;Sección 2906708013;774;0;9;57;297;81;108;3;96;75;30;18;3
29067 Málaga;Sección 2906708015;510;0;6;42;279;36;63;0;45;21;12;6;0
29067 Málaga;Sección 2906708017;618;0;6;48;321;39;63;0;69;36;24;9;0
29067 Málaga;Sección 2906708018;630;0;0;6;150;78;60;0;87;96;93;39;15
29067 Málaga;Sección 2906708028;984;0;9;51;345;87;108;3;141;120;93;21;6
29067 Málaga;Sección 2906708029;876;3;12;33;231;81;93;3;132;135;99;33;21
29067 Málaga;Sección 2906708030;1266;0;6;27;252;147;105;3;153;243;198;93;42
