Municipio de residencia;Sección ;Total;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94
Total;Sección 2906710034;783;3;33;66;57;93;93;162;132;102;36;3;0;0;0;0;0
Total;Sección 2906710052;585;3;15;57;72;78;63;60;60;93;78;6;3;0;0;0;0
Total;Sección 2906710056;516;0;21;60;51;54;66;39;48;96;66;15;3;0;0;0;0
Total;Sección 2906710066;663;3;21;33;66;111;168;111;69;57;21;0;0;0;0;0;0
Total;Sección 2906710068;699;6;54;48;42;63;54;99;204;96;30;0;0;0;0;0;0
Total;Sección 2906710069;1029;3;15;51;72;111;246;243;156;81;39;6;0;0;0;0;0
Total;Sección 2906710070;975;3;15;42;63;126;207;228;147;96;39;3;3;0;0;0;0
Total;Sección 2906710071;834;0;24;63;72;99;102;141;126;147;45;12;0;0;0;0;0
Total;Sección 2906710072;1479;0;18;69;108;228;348;357;186;123;39;6;0;0;0;0;0
Total;Sección 2906710074;534;0;24;51;42;57;69;72;87;93;33;3;0;0;0;0;0
Total;Sección 2906711002;894;3;42;84;90;117;153;120;132;87;54;9;3;0;0;0;0
Total;Sección 2906711003;894;3;36;63;96;102;117;165;153;99;42;9;3;3;0;0;0
Total;Sección 2906711004;723;3;24;45;51;69;129;150;126;84;33;9;6;3;0;0;0
Total;Sección 2906711006;636;6;36;69;66;81;99;93;96;63;27;6;0;0;0;0;0
Total;Sección 2906711007;939;3;33;54;84;192;216;153;102;69;21;3;0;0;0;0;0
Total;Sección 2906711008;516;0;15;54;66;51;48;57;54;84;63;21;3;0;0;0;0
Total;Sección 2906711010;735;6;33;33;51;75;126;159;117;90;36;6;3;0;0;0;0
Total;Sección 2906711013;621;0;33;48;51;54;51;60;144;123;39;6;3;0;3;0;0
29067 Málaga;Total;101406;336;3579;7722;9912;13587;16707;16848;14469;11331;5757;864;171;72;27;18;3
29067 Málaga;Sección 2906701001;684;0;15;48;96;87;87;99;90;81;66;15;3;3;0;0;0
29067 Málaga;Sección 2906702003;792;0;36;60;63;78;102;123;132;120;66;9;0;0;0;0;0
29067 Málaga;Sección 2906702004;549;0;12;36;42;54;57;78;96;75;63;27;6;6;3;0;0
29067 Málaga;Sección 2906702009;633;0;21;48;54;72;96;93;123;81;33;3;6;0;0;0;0
29067 Málaga;Sección 2906702013;870;3;21;63;81;84;105;129;132;126;93;18;9;3;0;0;0
29067 Málaga;Sección 2906702020;540;0;15;45;81;78;72;78;57;66;36;9;3;0;0;0;0
29067 Málaga;Sección 2906702022;627;0;18;48;33;60;99;117;96;93;48;6;9;0;3;0;0
