Municipio de residencia;Seccion de residencia;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99
29067 Málaga;Sección 2906707032;*;*;*;70;*;*;60;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707033;*;*;*;*;135;*;*;*;65;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707034;*;*;135;220;190;*;100;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707035;*;*;*;*;*;*;*;165;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707037;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707039;*;*;*;*;*;*;*;95;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707040;*;*;*;*;*;75;85;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707041;*;*;130;*;*;*;55;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707042;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707043;*;*;*;70;110;90;105;95;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707044;*;*;*;*;55;*;80;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707045;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707046;*;*;80;*;120;95;60;110;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707047;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707048;*;*;*;285;140;220;145;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707049;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707050;*;*;110;*;*;*;80;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707051;*;*;*;120;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707052;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707053;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707054;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707055;*;*;*;*;*;70;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707056;*;*;*;80;*;*;*;*;*;*;*;*;*;*;*;*;*
